iter	Logloss
0	0.6616533391
1	0.6297121697
2	0.600411758
3	0.5778635128
4	0.5543204916
5	0.5363592654
6	0.5198666991
7	0.5038410377
8	0.4913676034
9	0.4796442299
10	0.4686499878
11	0.459400308
12	0.4517308458
13	0.4441215384
14	0.436840427
15	0.4306297109
16	0.4261719718
17	0.4212246053
18	0.4176162366
19	0.4134262677
20	0.410082912
21	0.4066456905
22	0.4038095343
23	0.4014281482
24	0.3990636746
25	0.3970505517
26	0.3950246525
27	0.3928456804
28	0.3913377599
29	0.3900524551
30	0.3885830207
31	0.3877188941
32	0.3865850248
33	0.3858690016
34	0.3847602653
35	0.3841439113
36	0.3831907481
37	0.3826348658
38	0.3818481704
39	0.3813623551
40	0.3809182929
41	0.380312563
42	0.3797778476
43	0.3792032544
44	0.3788225153
45	0.3784752734
46	0.3779469308
47	0.3775442638
48	0.377085685
49	0.3767821662
50	0.3765518257
51	0.3762549668
52	0.3759526812
53	0.3757412462
54	0.375565043
55	0.3753384551
56	0.3751658099
57	0.3749714015
58	0.3747256967
59	0.3745580841
60	0.3744300898
61	0.3742910658
62	0.37416194
63	0.3740589672
64	0.3739528987
65	0.3738687005
66	0.3737592115
67	0.3736685887
68	0.3734810685
69	0.3733765004
70	0.3732146042
71	0.3731233022
72	0.3729606205
73	0.3728736153
74	0.3727268594
75	0.3726388266
76	0.3725561677
77	0.372480448
78	0.3723871205
79	0.3723352073
80	0.3722316981
81	0.3721781926
82	0.3721085891
83	0.3720581158
84	0.3719896731
85	0.3719349501
86	0.3718653528
87	0.3718150715
88	0.3717536823
89	0.3716486346
90	0.3716195078
91	0.3715619461
92	0.3714758392
93	0.3714272866
94	0.3713854079
95	0.3713185332
96	0.371274955
97	0.3712419318
98	0.3711636065
99	0.3711027617
100	0.3710495888
101	0.3709650388
102	0.3708874268
103	0.3708411244
104	0.3708057154
105	0.3707474177
106	0.3707031136
107	0.3706464301
108	0.3705843847
109	0.3705501982
110	0.3705002177
111	0.3704594412
112	0.3704212615
113	0.3703920783
114	0.3703651109
115	0.3703406008
116	0.3702909
117	0.3702488838
118	0.370213598
119	0.3701784635
120	0.3701508343
121	0.370106401
122	0.3700790183
123	0.3700518359
124	0.3700227947
125	0.3700010058
126	0.3699663336
127	0.3699366574
128	0.3699032184
129	0.3698824741
130	0.3698439036
131	0.3698010856
132	0.369765232
133	0.3697367129
134	0.3697072323
135	0.3696836045
136	0.3696542193
137	0.3696162421
138	0.3695687594
139	0.3695290689
140	0.3694783423
141	0.3694426823
142	0.3694091088
143	0.3693664949
144	0.3693400594
145	0.3693020181
146	0.3692670308
147	0.3692441053
148	0.3692133726
149	0.3691859225
150	0.3691561697
151	0.3691342725
152	0.3690929986
153	0.3690670239
154	0.3690524042
155	0.3690095019
156	0.3689809975
157	0.3689501486
158	0.3689125823
159	0.3688830638
160	0.368851646
161	0.3688278808
162	0.3688050437
163	0.3687786209
164	0.3687538722
165	0.368729755
166	0.3686967282
167	0.3686795122
168	0.3686431696
169	0.3686139557
170	0.3685793543
171	0.3685615802
172	0.368527518
173	0.3684950374
174	0.3684578139
175	0.3684211008
176	0.3683867029
177	0.3683439529
178	0.3683309541
179	0.3683071558
180	0.3682837867
181	0.3682701732
182	0.3682270194
183	0.3681952121
184	0.3681498949
185	0.368124959
186	0.3680960404
187	0.3680655049
188	0.3680276528
189	0.3679915492
190	0.3679757271
191	0.367954355
192	0.367933997
193	0.3679067175
194	0.3678790483
195	0.3678536087
196	0.36782388
197	0.367788459
198	0.3677696206
199	0.3677355019
200	0.3677044721
201	0.3676793349
202	0.3676369925
203	0.3676016008
204	0.3675708223
205	0.3675240029
206	0.3675006308
207	0.367464742
208	0.3674336849
209	0.3674007979
210	0.3673708451
211	0.3673309151
212	0.367315938
213	0.367278002
214	0.3672507316
215	0.3672234794
216	0.3671900473
217	0.3671508486
218	0.3671349553
219	0.3670950932
220	0.3670565503
221	0.3670332009
