iter	Passed	Remaining
0	20	10106
1	41	10341
2	59	9935
3	80	9929
4	101	10021
5	121	10013
6	141	9955
7	162	9980
8	182	9959
9	203	9985
10	224	9972
11	243	9896
12	263	9888
13	286	9938
14	307	9942
15	327	9910
16	347	9865
17	366	9821
18	389	9871
19	412	9893
20	432	9871
21	454	9865
22	474	9842
23	495	9828
24	516	9812
25	536	9780
26	556	9740
27	575	9705
28	596	9690
29	616	9651
30	638	9653
31	658	9634
32	679	9608
33	699	9587
34	720	9569
35	742	9563
36	761	9531
37	781	9502
38	800	9466
39	821	9443
40	840	9408
41	860	9388
42	881	9373
43	902	9348
44	924	9351
45	948	9360
46	971	9360
47	995	9376
48	1019	9381
49	1041	9369
50	1062	9349
51	1081	9319
52	1103	9309
53	1125	9293
54	1145	9266
55	1165	9244
56	1186	9223
57	1209	9216
58	1232	9212
59	1251	9180
60	1276	9183
61	1302	9198
62	1331	9234
63	1356	9237
64	1376	9215
65	1397	9192
66	1419	9172
67	1443	9171
68	1464	9145
69	1485	9128
70	1506	9100
71	1529	9089
72	1549	9066
73	1571	9046
74	1592	9026
75	1611	8992
76	1634	8977
77	1654	8951
78	1675	8929
79	1695	8901
80	1716	8879
81	1738	8864
82	1760	8846
83	1782	8826
84	1803	8803
85	1824	8781
86	1846	8764
87	1867	8744
88	1888	8719
89	1908	8695
90	1927	8664
91	1947	8635
92	1968	8614
93	1987	8585
94	2007	8559
95	2030	8544
96	2055	8541
97	2079	8531
98	2100	8508
99	2121	8484
100	2140	8454
101	2159	8425
102	2178	8397
103	2200	8378
104	2220	8353
105	2240	8329
106	2260	8303
107	2284	8293
108	2306	8272
109	2327	8252
110	2347	8228
111	2369	8209
112	2388	8179
113	2410	8163
114	2431	8139
115	2450	8112
116	2469	8082
117	2488	8054
118	2508	8032
119	2529	8009
120	2549	7984
121	2569	7961
122	2589	7936
123	2609	7912
124	2629	7887
125	2648	7861
126	2668	7836
127	2687	7811
128	2707	7786
129	2726	7758
130	2744	7731
131	2765	7710
132	2787	7690
133	2807	7667
134	2827	7645
135	2846	7618
136	2866	7595
137	2888	7577
138	2909	7557
139	2929	7532
140	2949	7509
141	2968	7485
142	2988	7461
143	3009	7440
144	3030	7419
145	3052	7400
146	3075	7385
147	3094	7359
148	3114	7337
149	3137	7320
150	3155	7294
151	3174	7268
152	3194	7245
153	3213	7219
154	3233	7196
155	3253	7174
156	3272	7150
157	3293	7129
158	3313	7106
159	3333	7084
160	3353	7060
161	3373	7039
162	3392	7014
163	3411	6989
164	3430	6965
165	3449	6941
166	3469	6917
167	3489	6896
168	3509	6873
169	3529	6851
170	3550	6830
171	3569	6806
172	3589	6784
173	3612	6767
174	3632	6745
175	3652	6723
176	3671	6700
177	3691	6678
178	3710	6654
179	3732	6636
180	3753	6614
181	3772	6592
182	3792	6569
183	3813	6548
184	3835	6530
185	3856	6509
186	3877	6489
187	3898	6469
188	3918	6447
189	3938	6426
190	3960	6407
191	3980	6384
192	4001	6365
193	4020	6341
194	4041	6321
195	4061	6298
196	4081	6277
197	4101	6256
198	4122	6235
199	4143	6215
200	4164	6195
201	4185	6174
202	4206	6153
203	4226	6131
204	4246	6110
205	4267	6090
206	4287	6068
207	4308	6048
208	4329	6027
209	4349	6006
210	4369	5984
211	4389	5963
212	4410	5943
213	4432	5923
214	4452	5901
215	4473	5881
216	4492	5859
217	4511	5836
218	4531	5814
219	4554	5796
220	4573	5773
221	4593	5751
222	4612	5728
223	4631	5706
224	4650	5684
225	4672	5665
226	4691	5642
227	4710	5619
228	4729	5597
229	4750	5577
230	4769	5554
231	4789	5532
232	4809	5511
233	4829	5490
234	4850	5469
235	4870	5448
236	4890	5426
237	4910	5405
238	4929	5383
239	4949	5361
240	4968	5340
241	4988	5318
242	5009	5297
243	5029	5276
244	5049	5255
245	5069	5234
246	5088	5212
247	5108	5190
248	5128	5170
249	5149	5149
250	5169	5128
251	5189	5107
252	5209	5085
253	5227	5063
254	5246	5041
255	5268	5021
256	5288	5000
257	5307	4978
258	5327	4957
259	5346	4935
260	5364	4912
261	5383	4890
262	5403	4869
263	5423	4848
264	5441	4825
265	5462	4805
266	5481	4783
267	5500	4761
268	5519	4739
269	5538	4717
270	5557	4695
271	5577	4675
272	5596	4653
273	5618	4634
274	5639	4614
275	5657	4591
276	5676	4569
277	5694	4547
278	5712	4524
279	5730	4502
280	5752	4483
281	5772	4462
282	5791	4440
283	5810	4418
284	5829	4397
285	5848	4375
286	5868	4355
287	5886	4333
288	5905	4311
289	5924	4289
290	5944	4269
291	5966	4250
292	5988	4230
293	6009	4210
294	6026	4188
295	6045	4166
296	6062	4143
297	6082	4122
298	6104	4103
299	6123	4082
300	6144	4062
301	6162	4040
302	6180	4018
303	6200	3997
304	6222	3978
305	6240	3956
306	6259	3935
307	6279	3914
308	6298	3893
309	6326	3877
310	6350	3859
311	6378	3843
312	6397	3822
313	6419	3802
314	6440	3782
315	6463	3763
316	6483	3742
317	6503	3721
318	6523	3701
319	6542	3679
320	6562	3659
321	6582	3638
322	6601	3617
323	6624	3598
324	6644	3577
325	6663	3556
326	6683	3535
327	6703	3515
328	6724	3495
329	6743	3473
330	6764	3453
331	6782	3431
332	6803	3411
333	6822	3390
334	6843	3370
335	6865	3350
336	6883	3329
337	6904	3309
338	6923	3288
339	6942	3267
340	6963	3246
341	6982	3225
342	7001	3204
343	7022	3184
344	7044	3164
345	7065	3144
346	7085	3124
347	7106	3103
348	7124	3082
349	7141	3060
350	7162	3040
351	7182	3019
352	7202	2999
353	7222	2978
354	7240	2957
355	7257	2935
356	7277	2914
357	7299	2895
358	7320	2875
359	7340	2854
360	7359	2833
361	7377	2812
362	7396	2791
363	7416	2771
364	7435	2750
365	7457	2730
366	7477	2709
367	7496	2688
368	7517	2668
369	7538	2648
370	7558	2628
371	7577	2607
372	7596	2586
373	7616	2565
374	7635	2545
375	7655	2524
376	7674	2503
